EntranceOnlyOnCycle [SimTalk],5577,5577,Attributes of the Object Cycle,11. Objects Reference Help
2,Fluid Objects,5577,5899,11. Objects Reference Help,11. Objects Reference Help
3,Fluid Objects,5577,5579,Fluid Objects,11. Objects Reference Help
3,Shared Properties,5580,5607,Fluid Objects,11. Objects Reference Help
4,Shared Properties,5580,5580,Shared Properties,11. Objects Reference Help
4,Dialog Items of the Fluid Objects,5581,5589,Shared Properties,11. Objects Reference Help
5,Dialog Items of the Fluid Objects,5581,5582,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,Entrance Locked [fluid objects],5583,5583,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,Exit Locked [fluid objects],5584,5584,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,Tab Statistics [fluid objects],5585,5586,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,Navigate Menu,5587,5587,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,View Menu,5588,5588,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,Tools Menu,5589,5589,Dialog Items of the Fluid Objects,11. Objects Reference Help
5,Help Menu,5590,5590,Dialog Items of the Fluid Objects,11. Objects Reference Help
4,Methods of the Fluid Objects,5590,5590,Shared Properties,11. Objects Reference Help
5,Methods of the Fluid Objects,5590,5590,Methods of the Fluid Objects,11. Objects Reference Help
4,Read-Only Attributes of the Fluid Objects,5591,5601,Shared Properties,11. Objects Reference Help
5,_Read-Only Attributes of the Fluid Objects,5591,5592,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,CurrentInFlowrate [SimTalk],5593,5593,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,CurrentMaterialColor [SimTalk],5594,5594,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,CurrentMaterialDensity [SimTalk],5595,5595,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,CurrentOutFlowrate [SimTalk],5596,5596,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,CurrentWeight [SimTalk],5597,5597,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,ResBlocked [SimTalk] - fluid objects,5598,5598,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,ResCurrentState [SimTalk] - fluid objects,5599,5599,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,ResSetup [SimTalk] - fluid objects,5600,5600,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,ResWaiting [SimTalk] - fluid objects,5601,5601,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
5,ResWorking [SimTalk] - fluid objects,5602,5602,Read-Only Attributes of the Fluid Objects,11. Objects Reference Help
4,Attributes of the Fluid Objects,5602,5607,Shared Properties,11. Objects Reference Help
5,_Attributes of the Fluid Objects,5602,5603,Attributes of the Fluid Objects,11. Objects Reference Help
5,EntranceLocked [SimTalk] - fluid objects,5604,5604,Attributes of the Fluid Objects,11. Objects Reference Help
5,ExitLocked [SimTalk] - fluid objects,5605,5605,Attributes of the Fluid Objects,11. Objects Reference Help
5,RandomSeed [SimTalk] - fluid objects,5606,5607,Attributes of the Fluid Objects,11. Objects Reference Help
5,SetupTime [SimTalk] - fluid objects,5608,5608,Attributes of the Fluid Objects,11. Objects Reference Help
3,Pipe,5608,5636,Fluid Objects,11. Objects Reference Help
4,Pipe,5608,5610,Pipe,11. Objects Reference Help
4,Dialog Box of the Pipe,5611,5624,Pipe,11. Objects Reference Help
5,Dialog Box of the Pipe,5611,5611,Dialog Box of the Pipe,11. Objects Reference Help
5,Tab Attributes,5612,5618,Dialog Box of the Pipe,11. Objects Reference Help
6,Tab Attributes [Pipe],5612,5612,Tab Attributes,11. Objects Reference Help
6,Outflow Rate [Pipe],5613,5613,Tab Attributes,11. Objects Reference Help
6,Pipe Opened [check box],5614,5614,Tab Attributes,11. Objects Reference Help
6,Exit Strategy,5614,5616,Tab Attributes,11. Objects Reference Help
7,Exit Strategy - Pipe,5614,5614,Exit Strategy,11. Objects Reference Help
7,Evenly distributed,5615,5615,Exit Strategy,11. Objects Reference Help
7,Percentage [Pipe],5616,5616,Exit Strategy,11. Objects Reference Help
6,Current Material [Pipe],5617,5617,Tab Attributes,11. Objects Reference Help
6,Current Flow Rate [text box],5618,5618,Tab Attributes,11. Objects Reference Help
5,Tab Times,5619,5619,Dialog Box of the Pipe,11. Objects Reference Help
5,Tab Statistics,5620,5620,Dialog Box of the Pipe,11. Objects Reference Help
5,Tab User-defined Attributes,5621,5621,Dialog Box of the Pipe,11. Objects Reference Help
5,Navigate Menu,5622,5622,Dialog Box of the Pipe,11. Objects Reference Help
5,View Menu,5623,5623,Dialog Box of the Pipe,11. Objects Reference Help
5,Tools Menu,5624,5624,Dialog Box of the Pipe,11. Objects Reference Help
5,Help Menu,5625,5625,Dialog Box of the Pipe,11. Objects Reference Help
4,Methods of the Pipe,5625,5625,Pipe,11. Objects Reference Help
5,Methods of the Pipe,5625,5625,Methods of the Pipe,11. Objects Reference Help
4,Read-Only Attributes of the Pipe,5626,5629,Pipe,11. Objects Reference Help
5,_Read-Only Attributes of the Pipe,5626,5627,Read-Only Attributes of the Pipe,11. Objects Reference Help
5,CurrentFlowrate [SimTalk],5628,5628,Read-Only Attributes of the Pipe,11. Objects Reference Help
5,CurrentMaterial [SimTalk] - Pipe,5629,5629,Read-Only Attributes of the Pipe,11. Objects Reference Help
5,LengthOfPipe [SimTalk],5630,5630,Read-Only Attributes of the Pipe,11. Objects Reference Help
