User Interface Objects,7482,8150,11. Objects Reference Help,11. Objects Reference Help
3,Display and User Interface Objects,7482,7483,User Interface Objects,11. Objects Reference Help
3,Comment,7484,7523,User Interface Objects,11. Objects Reference Help
4,Comment [object],7484,7484,Comment,11. Objects Reference Help
4,Dialog Box of the Comment,7485,7511,Comment,11. Objects Reference Help
5,Dialog Box of the Comment,7485,7486,Dialog Box of the Comment,11. Objects Reference Help
5,Name [text box] - Comment,7487,7487,Dialog Box of the Comment,11. Objects Reference Help
5,Tab Comment,7487,7502,Dialog Box of the Comment,11. Objects Reference Help
6,Tab Comment [Comment],7487,7489,Tab Comment,11. Objects Reference Help
6,Formatting Toolbar,7490,7490,Tab Comment,11. Objects Reference Help
6,Inherit Contents [Comment],7491,7491,Tab Comment,11. Objects Reference Help
6,Save the Content in Rich-text Format,7492,7492,Tab Comment,11. Objects Reference Help
6,Context Menu for Formatting the Comment,7492,7502,Tab Comment,11. Objects Reference Help
7,Context Menu for Formatting the Comment,7492,7492,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Undo [Comment],7493,7493,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Font [Comment],7494,7494,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Color [Comment],7495,7495,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Bold [Comment],7496,7496,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Italic [Comment],7497,7497,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Underline,7498,7498,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Align Left,7499,7499,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Center [Comment],7500,7500,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Align Right,7501,7501,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Bullets,7502,7502,Context Menu for Formatting the Comment,11. Objects Reference Help
7,Insert Date or Time,7503,7503,Context Menu for Formatting the Comment,11. Objects Reference Help
5,Tab Display,7503,7508,Dialog Box of the Comment,11. Objects Reference Help
6,Tab Display,7503,7503,Tab Display,11. Objects Reference Help
6,Text [text box] - Comment,7504,7504,Tab Display,11. Objects Reference Help
