new_level,parent_chapter,new_chapter,start_page,end_page,page_count,source_scope
1,,01. Onboarding and Plant Simulation Basics,1471,1521,51,Step-by-Step Help; Getting to Know Plant Simulation
2,01. Onboarding and Plant Simulation Basics,01.1 Step-by-Step Help Entry,1471,1471,1,Step-by-Step Help
2,01. Onboarding and Plant Simulation Basics,01.2 Simulation and Modeling Concepts,1472,1479,8,Simulation and Modeling Concepts
2,01. Onboarding and Plant Simulation Basics,01.3 Getting Started in the UI and Basic Operations,1480,1521,42,"Getting to Know Plant Simulation; Working with Plant Simulation, Basics"
1,,02. Core Model Construction Workflow,1522,1620,99,Modeling the Material Flow; Creating a Simulation Model
2,02. Core Model Construction Workflow,02.1 Material Flow Chapter Entry,1522,1523,2,Modeling the Material Flow
2,02. Core Model Construction Workflow,02.2 Classes Libraries and Toolboxes,1524,1568,45,Creating a Simulation Model; Introducing Classes; Working with Classes in the Class Library; Working with Objects in the Toolbox
2,02. Core Model Construction Workflow,02.3 Frame Modeling Simulation Control and Drag-and-Drop,1569,1620,52,Modeling Hierarchically; Working with the Frame; EventController; Drag-and-Drop
1,,03. Material Flow Fundamentals,1621,1773,153,"Modeling the Flow of Materials, Basics"
2,03. Material Flow Fundamentals,03.1 Sources Routing and Transfer Logic,1621,1691,71,Sources; Work Plan; Transfer Strategies; FlowControl; TransferStation
2,03. Material Flow Fundamentals,03.2 Processing Setup Failures Buffers and Inventory,1692,1739,48,Set-up; Processing Times; Failures; Buffers; Store Inventory
2,03. Material Flow Fundamentals,03.3 Pull Systems Carriers and Line Balancing,1740,1773,34,Supermarket; Stacking; Workpiece Carriers; Production Line Balancing
1,,04. Advanced Material Flow Behavior,1774,1842,69,"Random Processes; Modeling the Flow of Materials, Advanced"
2,04. Advanced Material Flow Behavior,04.1 Randomness and Distributions,1774,1778,5,Modeling Random Processes
2,04. Advanced Material Flow Behavior,04.2 Controls Sensors Observers and Distance Control,1779,1842,64,Customizing Object Behavior; Entrance/Exit Controls; Sensors; Observers; Distance Control
1,,05. Fluids Energy Workforce and Shift Logic,1843,2055,213,Fluids; Costs; Power; Workers; Shift; Lockout
2,05. Fluids Energy Workforce and Shift Logic,05.1 Fluids and Free-Flowing Materials,1843,1884,42,Simulating Free-Flowing Materials and Fluids
2,05. Fluids Energy Workforce and Shift Logic,05.2 Cost and Power Analysis,1885,1906,22,Accrued Costs; Power Consumption
2,05. Fluids Energy Workforce and Shift Logic,05.3 Worker Modeling and Job Execution,1907,2028,122,Modeling Workers and the Jobs They Do
2,05. Fluids Energy Workforce and Shift Logic,05.4 Shift Calendars and Lockout Zones,2029,2055,27,Modeling a Shift System; Modeling a Lockout Zone
1,,06. Assembly Robots and Conveyance Patterns,2056,2220,165,Assembly; Dismantle; PickAndPlace; Converter; AngularConverter; Turnplate; Turntable
